epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4253.5,0.94783,0.55926,1.14482,0.89633,0.90197,0.93088,0.65099,1.11928,0.6297,1.21609,0.000742625,0.000742625,0.000742625
43,4525.92,0.94386,0.55477,1.13489,0.91125,0.89495,0.93593,0.66072,1.12603,0.62287,1.23131,0.00073025,0.00073025,0.00073025
44,4576.26,0.91574,0.53971,1.12467,0.90672,0.88054,0.93294,0.6609,1.12296,0.62492,1.23937,0.000717875,0.000717875,0.000717875
45,4659.69,0.92391,0.53988,1.1303,0.91068,0.89199,0.93167,0.6541,1.11689,0.62359,1.2352,0.0007055,0.0007055,0.0007055
46,4745.58,0.92105,0.53827,1.12413,0.89731,0.9017,0.93143,0.66536,1.12678,0.64042,1.22954,0.000693125,0.000693125,0.000693125
47,4796.46,0.90059,0.52638,1.1227,0.92893,0.8975,0.94479,0.67555,1.13376,0.62159,1.235,0.00068075,0.00068075,0.00068075
48,4865.84,0.9035,0.52946,1.12119,0.91359,0.90018,0.92498,0.65706,1.11783,0.61843,1.23947,0.000668375,0.000668375,0.000668375
49,4979.27,0.89778,0.51827,1.10762,0.90813,0.91421,0.93535,0.66373,1.12085,0.62046,1.24025,0.000656,0.000656,0.000656
50,5191.01,0.89838,0.52237,1.11644,0.90641,0.89973,0.92958,0.65812,1.11589,0.62507,1.22501,0.000643625,0.000643625,0.000643625
51,5276.24,0.88817,0.51708,1.11353,0.88632,0.89624,0.92448,0.6478,1.11228,0.62802,1.23828,0.00063125,0.00063125,0.00063125
52,5433.14,0.87067,0.50817,1.09904,0.89584,0.91456,0.94199,0.66677,1.11354,0.62562,1.24204,0.000618875,0.000618875,0.000618875
53,5523.42,0.87723,0.50923,1.10269,0.90704,0.89849,0.93689,0.66732,1.10851,0.6299,1.23564,0.0006065,0.0006065,0.0006065
54,5715.31,0.87246,0.50384,1.10248,0.88451,0.92836,0.93819,0.67735,1.10957,0.59644,1.22459,0.000594125,0.000594125,0.000594125
55,5779.7,0.87617,0.505,1.10941,0.91687,0.8976,0.93469,0.67518,1.09631,0.62325,1.2242,0.00058175,0.00058175,0.00058175
56,5864.52,0.86087,0.49605,1.09302,0.8844,0.91114,0.93415,0.66604,1.11028,0.63743,1.22657,0.000569375,0.000569375,0.000569375
57,5923.45,0.84912,0.49447,1.1016,0.92414,0.90416,0.93422,0.66678,1.11577,0.61932,1.252,0.000557,0.000557,0.000557
58,5973.76,0.84096,0.48545,1.08814,0.91631,0.8991,0.93975,0.66825,1.10564,0.60277,1.23681,0.000544625,0.000544625,0.000544625
59,6129.06,0.84887,0.48279,1.08926,0.92139,0.90534,0.94759,0.68435,1.11392,0.59755,1.25188,0.00053225,0.00053225,0.00053225
60,6188.47,0.84073,0.47943,1.07855,0.90263,0.90924,0.93513,0.67047,1.10613,0.60632,1.25717,0.000519875,0.000519875,0.000519875
61,6283.35,0.81872,0.47359,1.0756,0.89474,0.90838,0.93397,0.67596,1.09971,0.59375,1.23779,0.0005075,0.0005075,0.0005075
62,6338.28,0.82302,0.4678,1.07997,0.91326,0.91848,0.94561,0.68555,1.1151,0.59912,1.25225,0.000495125,0.000495125,0.000495125
63,6445.92,0.81482,0.46751,1.07947,0.90624,0.90331,0.94551,0.68143,1.09149,0.61819,1.22198,0.00048275,0.00048275,0.00048275
